,date,content,replyCount,retweetCount,likeCount,quoteCount
0,2020-05-31,if yall got apple watches series i got chuuuu,0,0,0,0
1,2020-05-31,"White friends and followers: if you can make it through this video and come out with the same only a few bad apples mentality, please let me know. Im trying to see something",0,1,1,0
2,2020-05-31,Its the fact Apple corrected revelations,0,0,0,0
3,2020-05-31,Snow White treats. en Marissa's Cake,0,0,0,0
4,2020-05-31,"I taste more bow tie chie and not as much apple.. I think this was a failure, still good though! Next time I'll add more apple crumble",0,0,0,0
5,2020-05-31,cross cross apple sauce,1,0,4,0
6,2020-05-31,Real lets share a Pepsi energy. This few rotten apples bullshit is over.,0,1,4,0
7,2020-05-31,"So many bad apples, might be best to cut the tree down?",0,0,1,0
8,2020-05-31,"Been saying this for years. Cops deserve to be paid more, but they likewise need to be held to such such higher standards of accountability. Can't have bad apples when the motherfucker has a gun and the inclination to use it.",0,0,4,0
9,2020-05-31,Hey love your work!!! Do you know when Queens peril will be released on Apple Books in uk? Cant find it anywhere!,0,0,0,0
10,2020-05-31,"People will say ""A few bad apples don't spoil the bunch"" when police k!ll, spray, and needlessly harm people, but when some people start looting they wanna say ""All protestors are rioters"" Can't get through to some of these people...",0,0,0,0
11,2020-05-31,WIN a Brand New Apple iPhone Pro or Samsung Galaxy Z Flip! Inc. Brand New for ! via ://,0,0,0,0
12,2020-05-31,"Pure sophistry. Only an educated idiot could write such blather. This ""professor"" thinks destroying a police station is as ""American as apple pie."" I pity anyone taking his BS classes, and those parents paying for them.",0,0,0,0
13,2020-05-31,i got an apple but im honestly so sick of apples and walmart deli bread being the only two things im able to eat...,0,0,0,0
14,2020-05-31,"Now Playing on SpurRadio David Adam Byrnes - I Can Give You One. Download the SpurRadio App from Google Play Store or Apple App Store! Or how about ""Alexa, play SpurRadio!",0,0,0,0
15,2020-05-31,"not all cops are bad, its just a few bad apples ok cool linda but when the tree is routinely making a lot of bad apples dont u think we should chop down the tree and plant a new one??",0,0,3,0
16,2020-05-31,"I absolutely believe there are good cops. Many of them. But i also absolutely believe there are bad cops, and they protect each other, making them more than bad apples, but a network of corruption within the system.True blue cops need to push them out.",52,106,1013,7
17,2020-05-31,I'm in IT and loving the Computer Security episode you referenced in this week's Q&amp;A. LoL on the apple stuff.,1,0,1,0
18,2020-05-31,Seriously as a black person American ain't no big apple.,0,0,0,0
19,2020-05-31,The &amp; tell us that the police killings are just the result of a 'few bad apples' but the looting is down to ALL of the protesters. At this point I'm inclined to think it's much more the opposite = lots of bad policemen &amp; very few bad protesters,0,0,0,0
